"Query","E-bill Pre-enrollment Part 1","E-bill Pre-enrollment Part 2","E-bill Pre-enrollment Part 3","E-Bill TEMP T&C1","E-Billing T&C 1","E-Billing T&C 2","MOVE - Move In"
"6404797575745050021","1","1","1","1","","1","1"
"6404797605801428304","1","1","","","","","1"
"6404797605809821168","1","1","1","","","",""
"6404797743240382212","","","","","","","1"
"6404797781903480809","1","1","1","1","","1","1"
"6404797803437036645","1","1","1","","","","1"
"6404797837738055813","","","","","","","1"
"6404797910811219281","","","","","","","1"
"6404797975168616842","1","1","","1","","1","1"
"6404797983758551457","1","1","1","","","","1"
"6404798048191453846","1","1","1","","","","1"
"6404798181327047577","","1","","","","","1"
"6404798348830772576","","","","1","","1","1"
"6404798447623413408","1","1","1","","","","1"
"6404798477688184582","","","","","","","1"
"6404798520637857655","1","1","","","","","1"
"6404798748271124992","1","1","","","","","1"
"6404798928659751825","","","","","","","1"
"6404799001665803302","1","1","1","","1","","1"
"6404799031730574461","1","1","","1","","1","1"
"6404799152056770099","1","1","","","","","1"
"6404799207832626786","","","","","","","1"
"6404799212186312355","1","1","1","","","","1"
"6404799371100102648","1","1","1","","","","1"
"6404799383926286440","1","","","","","","1"
"6404799495654154490","","","","","","","1"
"6404799512834023714","","","","","","","1"
"6404799611559553804","1","1","1","","","","1"
"6404799637329357655","1","1","1","","","","1"
"6404799701753867263","1","1","1","1","1","1","1"
"6404799736113605735","1","1","","","","","1"
"6404799830594493639","1","1","1","","","","1"
"6404799882201211860","1","1","1","","","","1"
"6404799899313970555","1","1","1","","","","1"
"6404799925092167306","1","1","1","","","","1"
"6404800126955630744","1","1","","","","","1"
"6404800144194217468","1","1","1","","","","1"
"6404800212913694321","1","1","","1","","1","1"
"6404800311630832120","1","","","","","","1"
"6404800427603342211","1","1","","","","","1"
"6404800526387590326","","","","","","","1"
"6404800565033903279","","","","","","","1"
"6404800586517132594","1","1","1","","","","1"
"6404800650941642226","1","1","1","","","","1"
"6404800672416478767","1","1","1","1","1","1","1"
"6404800900049745969","","1","","","","","1"
"6404800925878266794","1","1","1","","","","1"
"6404800947294386368","1","1","1","1","1","1","1"
"6404800990244059481","","","","","","","1"
"6404801076143405723","1","1","","","","","1"
"6404801140567915350","","1","1","1","","1","1"
"6404801179222621125","1","1","1","1","","1","1"
"6404801235115912742","","","","","","","1"
"6404801247942098058","","","","","","","1"
"6404801286596803817","1","1","1","","","","1"
"6404801574359597106","1","1","1","","","","1"
"6404801767633126057","1","1","1","","","","1"
